,Unnamed: 0,identificativo,fondo,serie,collocazione,copia,collocazione_antica,recto,data,notaio,data_i,data_f,is_digitized,fondo_serie
2147,2147,FV SG Pergamene 7934,San Giorgio in Braida (ASVat FV 1),Pergamene,7934,Originale,n.d.,n.d.,1200 04 12,Amenricus Siccafenum publicus notarius,1200 04 12,,No,FV SG Pergamene
2148,2148,FV SG Pergamene 7935,San Giorgio in Braida (ASVat FV 1),Pergamene,7935,Originale,n.d.,n.d.,1200 10 08,Omnebonum notarius,1200 10 08,,No,FV SG Pergamene
2149,2149,FV SG Pergamene 7937,San Giorgio in Braida (ASVat FV 1),Pergamene,7937,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Bonifacius imperiali auctoritate notarius,1101 00 00,1200 00 00,No,FV SG Pergamene
2150,2150,FV SG Pergamene 7939,San Giorgio in Braida (ASVat FV 1),Pergamene,7939,Originale,n.d.,n.d.,1200 02 19,Asenellus domini Henrici imperatoris notarius,1200 02 19,,No,FV SG Pergamene
2151,2151,FV SG Pergamene 7940,San Giorgio in Braida (ASVat FV 1),Pergamene,7940,Originale,n.d.,n.d.,1200 03 02,Albertus domini imperatoris notarius,1200 03 02,,No,FV SG Pergamene
2152,2152,FV SG Pergamene 7941,San Giorgio in Braida (ASVat FV 1),Pergamene,7941,Originale,n.d.,n.d.,1200 03 06,Albertus domini imperatoris notarius,1200 03 06,,No,FV SG Pergamene
2153,2153,FV SG Pergamene 7942,San Giorgio in Braida (ASVat FV 1),Pergamene,7942,Originale,n.d.,n.d.,1200 03 06,Albertus domini imperatoris notarius,1200 03 06,,No,FV SG Pergamene
2154,2154,FV SG Pergamene 7943,San Giorgio in Braida (ASVat FV 1),Pergamene,7943,Originale,n.d.,n.d.,1200 03 18,Iacobinus sacri palacii notarius,1200 03 18,,No,FV SG Pergamene
2155,2155,FV SG Pergamene 7944,San Giorgio in Braida (ASVat FV 1),Pergamene,7944,Originale,n.d.,n.d.,1200 03 21,Albertus domini imperatoris notarius,1200 03 21,,No,FV SG Pergamene
2156,2156,FV SG Pergamene 7945,San Giorgio in Braida (ASVat FV 1),Pergamene,7945,Copia XIII secolo,n.d.,n.d.,1200 04 15,Martinus domini Henrici imperatoris notarius,1200 04 15,,No,FV SG Pergamene
2157,2157,FV SG Pergamene 7946,San Giorgio in Braida (ASVat FV 1),Pergamene,7946,Originale,n.d.,n.d.,1200 05 11,Bonus sacri palatii notarius et ab imperatore Friderico confirmatus ac institutus postea,1200 05 11,,No,FV SG Pergamene
2158,2158,FV SG Pergamene 7947,San Giorgio in Braida (ASVat FV 1),Pergamene,7947,Originale,n.d.,n.d.,1200 05 17,Vitus domini imperatoris Frederici notarius,1200 05 17,,No,FV SG Pergamene
2159,2159,FV SG Pergamene 7948,San Giorgio in Braida (ASVat FV 1),Pergamene,7948,Originale,n.d.,n.d.,1200 06 10,Petrus domini Federici imperatoris notarius,1200 06 10,,No,FV SG Pergamene
2160,2160,FV SG Pergamene 7949,San Giorgio in Braida (ASVat FV 1),Pergamene,7949,Originale,n.d.,n.d.,1200 06 25,Ubertinus sacri palatii notarius,1200 06 25,,No,FV SG Pergamene
2161,2161,FV SG Pergamene 7950,San Giorgio in Braida (ASVat FV 1),Pergamene,7950,Originale,n.d.,n.d.,1200 07 13,Gabriel sacri palacii notarius,1200 07 13,,No,FV SG Pergamene
2162,2162,FV SG Pergamene 7952,San Giorgio in Braida (ASVat FV 1),Pergamene,7952,Originale,n.d.,n.d.,1200 08 31,Gerardus domini Enrici imperatoris notarius,1200 08 31,,No,FV SG Pergamene
2163,2163,FV SG Pergamene 7953,San Giorgio in Braida (ASVat FV 1),Pergamene,7953,Originale,n.d.,n.d.,1200 09 16,Abraam sacri palatii notarius,1200 09 16,,No,FV SG Pergamene
2164,2164,FV SG Pergamene 7954,San Giorgio in Braida (ASVat FV 1),Pergamene,7954,Originale,n.d.,n.d.,1200 10 14,Gumbertus notarius comitis Bonifatii,1200 10 14,,No,FV SG Pergamene
2165,2165,FV SG Pergamene 7955,San Giorgio in Braida (ASVat FV 1),Pergamene,7955,Originale,n.d.,n.d.,1200 10 14,Gumbertus notarius comitis Bonifatii,1200 10 14,,No,FV SG Pergamene
2166,2166,FV SG Pergamene 7956,San Giorgio in Braida (ASVat FV 1),Pergamene,7956,Originale,n.d.,n.d.,1200 11 02,Ugolinus Monteclarensis notarius,1200 11 02,,No,FV SG Pergamene
2167,2167,FV SG Pergamene 7957,San Giorgio in Braida (ASVat FV 1),Pergamene,7957,Originale,n.d.,n.d.,1200 12 09,Clemens regalis aule notarius,1200 12 09,,No,FV SG Pergamene
2168,2168,FV SG Pergamene 6742a,San Giorgio in Braida (ASVat FV 1),Pergamene,6742a,Originale,n.d.,n.d.,0915 07 06,?,0915 07 06,,No,FV SG Pergamene
2169,2169,FV SG Pergamene 6742b,San Giorgio in Braida (ASVat FV 1),Pergamene,6742b,"Iohannes notarius, copia XI secolo",n.d.,n.d.,1031 07 06,Wido notarius sacri palacii,1031 07 06,,No,FV SG Pergamene
2170,2170,FV SG Pergamene 6825_1,San Giorgio in Braida (ASVat FV 1),Pergamene,6825_1,Originale,n.d.,n.d.,1078 08 29,Rozo notarius sacri palacii,1078 08 29,,No,FV SG Pergamene
